,location,title,company,salary,summary,rating
20506,"Bengaluru, Karnataka",Staff Engineer - Fleet Management – Analytics,GE Aviation,NA,"
Experience in data cleansing, data quality assessment, and using analytics for solving business problems.
You will have exposure to large datasets, big data…
",3.8
20507,"Mumbai, Maharashtra",Data Engineer,Procter & Gamble,NA,"
Build data & analytics solutions in Microsoft Azure – architect and design technical solutions to obtain, process, store and provide insights based on the…
",4.1
20508,"Bengaluru, Karnataka",newPrincipal Engineer Data Path,palo alto networks (india) pvt. ltd.,NA,"
Network and/or Security appliance development experience is a big plus.
You will be responsible for the design, development and test of a scalable distributed…
",NA
20509,"Bengaluru, Karnataka",newJunior Software Engineer,Sephora,NA,"
Strong problem-solving skills and CS fundamentals - algorithms, data structures etc.
Collaborating with cross-functional teams to implement features spanning…
",3.8
20510,"Chennai, Tamil Nadu",COMPUTER VISION ENGINEER,MulticoreWare,NA,"
PyTorch) is a big plus.
Very good knowledge on advanced data structures and algorithms.
Work on identifying and implementing pre-processing of various datasets.
",3.0
20511,"Bengaluru, Karnataka",Big Data Engineer,Big Data BizViz (BizViz Technologies Pvt. Ltd),NA,"
Excellent problem solving skills with the ability to design algorithms, which may include data cleaning, data mining, data clustering and pattern recognition…
",NA
20512,"Hyderabad, Telangana",Bigdata Engineer Scala + Spark,Clairvoyant India Pvt. Ltd.,NA,"
A good hold on Design and Architecture for data engineering problems.
Big data practice at Clairvoyant, focuses on solving the customer’s business problems by…
",NA
20513,"Bengaluru, Karnataka",Data Platform Engineer,"JPMorgan Chase Bank, N.A.",NA,"
Through careful data curation and various analytics and business intelligence facilities, this data platform provides insights into various operational metrics,…
",3.8
20514,"Remote in Bengaluru, Karnataka",Lead Data Engineer,GO-JEK,NA,"
Deploy the data pipeline following data governance and data security requirements, and implement it with the data quality check on Google Cloud Platform.
",NA
20515,"Pune, Maharashtra",Associate - Data Engineer,Deutsche Bank,NA,"
Design and maintain high-quality data driven microservices.
We are part of the tribe Customer Data Intelligence in TDI PB Germany that covers the complete value…
",3.8
20516,"Bengaluru, Karnataka",UI Engineer (5-7 years),PhonePe,NA,"
Excellent Computer Science fundamentals in object-oriented design, data structures and algorithms.
Using PhonePe, users can send and receive money, recharge…
",4.3
20517,"Bengaluru, Karnataka",Data Engineer,4CRisk.ai Software,NA,"
Experience building and optimizing ‘big data’ data pipelines, architectures and data sets.
Working knowledge of message queuing, stream processing, and highly…
",NA
20518,India,newImplementation Engineer,aPriori,NA,"
The Implementation Engineer (Configuration and Tools) plays an integral role in the implementation of the aPriori cost management platform for our customers…
",NA
20519,"Chennai, Tamil Nadu",Software Support Engineer III,Walmart Global Tech India,NA,"
Basic knowledge and understanding in emerging technologies of Cloud, Distributed computing and big data.
Retail and Emerging Tech: This is the team which builds…
",NA
20520,"Bengaluru, Karnataka",External Data Engineer,Kimberly-Clark,NA,"
Experience with data warehouse, data lake, and enterprise big data platforms in multi-data-center contexts required.
Experience with Snowflake Data Warehousing.
",4.0
20522,"Bengaluru, Karnataka",Data Engineer,Harman International,NA,"
Database SQL : Very good hands on DB experience ( SQL, Store Procedure, etc ).
Data processing experience in Big Data: Hive, Azure Databricks using PySpark or…
",3.9
20523,"Noida, Uttar Pradesh",newLead Application Engineer,Cadence Design Systems,NA,"
Knowledge of scripting languages & Flow development is a big plus.
Ability to generate all required data points to draw conclusions and decide next steps.
",4.1
20524,India,Sr Manager Technical Support – Big Data / Databases,CareerXperts,NA,"
The Leader is responsible for the strategic planning and execution that insures that the support team is performing at the highest levels of efficiency.
",NA
20526,"Bengaluru, Karnataka","Sr. Customer Success Engineer (Big Data , Data Science )",Databricks,NA,"
Problem solving skills that apply to a big data environment.
Experience with databases, data warehousing, or data science.
",NA
20527,"Hyderabad, Telangana",newSr Big Data Engineer,Experian,NA,"
Strong understanding of data analytics and data visualization.
Realtime data feed processing using Big Data ecosystem.
Experience with Solr is a plus.
",3.6
20528,"Bengaluru, Karnataka","HPE Global Operations, Analytics Data Engineer",Hewlett Packard Enterprise,NA,"
Architect and create data views from big data store to feed into analytics solutions and visualization layers.
Analytical, with ability to think strategically.
",3.8
20529,"Hyderabad, Telangana",Software Engineer ll,Microsoft,NA,"
3+ years of experience with creating data pipelines, Data Science / Analytics.
In short, we thrive on data to solve high impact business problems for Windows…
",4.2
20530,"Bengaluru, Karnataka",Data Scientist-AI/ML,Synopsys,NA,"
You will work with domain experts to identify the most efficient way to collect and process batch/time-series data to derive data insight.
",4.1
20531,"Bengaluru, Karnataka","Senior Data Engineer, ED&A – APLA",Nike,NA,"
Mentor and develop other data engineers in adopting best practices.
Drive collaborative reviews of design, code, test plans and dataset implementation performed…
",4.1
20532,"Hyderabad, Telangana",Senior Data Engineer,ADCI HYD SEZ,NA,"
Keep up to date with advances in big data technologies and run pilots to design the data architecture to scale with the increased data sets of customer…
",NA
20533,"Bengaluru, Karnataka",Business Intelligence Engineer,Visa,NA,"
We are looking for expertise in designing and building such solutions from large-scale big data processing systems by using the latest BI technologies and…
",3.9
20534,"Chennai, Tamil Nadu",AI Engineer,iKomet Technology Solutions,NA,"
Experience with data engineering, deep learning frameworks and related open-loop testing techniques is a plus.
Automate processes by utilizing machine learning.
",NA
20535,"Bengaluru, Karnataka","Methodology Engineer, Front-End, Devices and Services, Silic...",Google,NA,"
With your technical expertise, you lead projects in multiple areas of expertise (i.e., engineering domains or systems) within a data center facility, including…
",4.3
20536,"Bengaluru, Karnataka",Data engineer,Maersk,NA,"
Assisting the Solution Architects, Data Scientists on program for transformations and modernizations of data solutions using Azure cloud data technologies.
",4.1
20537,India,100432 - Azure Data Engineer,AceNet,NA,"
Knowledge of informatica tools like IDQ, DES etc.. is a big plus.
Key role includes to understand and reverse engineering AWS and Data Sync ETL codes, implement…
",NA
20538,"Bengaluru, Karnataka",Software Engineer,HP,NA,"
Applies developed subject matter knowledge to solve common and complex business issues within established guidelines and recommends appropriate alternatives.
",4.0
20539,"Chennai, Tamil Nadu",Linux Engineer 2,Comcast,NA,"
Analyses problems in design, configuration, data flow and data state within a highly complex multi-product provisioning system.
",3.7
20540,"Hyderabad, Telangana",Lead Data Scientist,Cyient,NA,"
Lead analytic approaches, integrating work into applications and tools with data engineers, business leads, analysts and developers.
",3.5
