,location,title,company,salary,summary,rating
1030,Delhi,"Executive, WW Supply Chain and Operations Analytics",BD,,"
Comfortable manipulating large amount of data.
Understand database and remote access to server data.
“Curious, autonomous and willing to learn” and develop in…
",3.8
1031,"Gurgaon, Haryana",newML Engineer,CarDekho,,"
Experience with big data technologies such as Spark/PySpark and data lakes is a plus.
Study and transform data science prototypes.
AWS experience is a plus.
",3.6
1032,"Bengaluru, Karnataka",Data Scientist – Machine learning,PayU,,"
We are looking for a data scientist in the PayU data science team who will be primarily responsible.
 Identify what data is available and relevant, including…
",3.9
1033,"Hyderabad, Telangana",newSr. Data Scientist - Deep Learning (NLP),Gramener,,"
Expert / high level of understanding on language semantic concepts & data standardization.
3-5 years of experience using analytical tools/languages like Python …
",4.3
1034,"Bengaluru, Karnataka",NLP (Natural Language Processing) Engineer,Griffon Technology: A Placement Partner,,"
Improve existing data models, data pipelines, featurization and implementing new techniques for our ML platform.
Transformer architectures - BERT, GPT2/3.
",
1035,"Noida, Uttar Pradesh",newData Science Trainer,Eway IT Solutions,"₹25,000 - ₹35,000 a month","
Should have exposure to Python, data analytics, data science, Machine.
Training students and help them to gain knowledge on the topics given by.
",
1036,"Coimbatore, Tamil Nadu",PhD in AI for Healthcare Data Analytics,Amrita University,,"
One of the key areas in which AI has made its mark is healthcare data analytics.
In this project, you will be employing various machine learning / deep learning…
",4.0
1037,"Bengaluru, Karnataka",Machine Learning Engineer,Intel,,"
Solid knowledge in data base website development.
Responsible for preparing data for ML models at scale, building appropriate inference interfaces for ML model…
",4.1
1038,"Pune, Maharashtra",MACHINE LEARNING - DATA SCIENTIST,Hella,,"
Minimum 2 years relevant experience in data analysis, data engineering, ML and statistics.
Strong understanding of ML fundamentals, algorithms and data…
",
1039,"Hybrid remote in Navi Mumbai, Maharashtra",Senior Data Scientist,MasterCard,,"
Finicity, A Mastercard company expands financial inclusion, increases financial and data literacy.
Finicity, A Mastercard company 's solutions provide…
",4.0
1040,"Chennai, Tamil Nadu+1 location","Manager, Data Science 3",PayPal,,"
Designs and develops programs methods, processes and systems to consolidate and analyze big data.
This role requires comfort with multiple data platforms and a…
",3.9
1041,"Chennai, Tamil Nadu",Sr. Data Scientist,Comcast,,"
Lead and collaborate on large scale projects that utilize online & offline data, structured & unstructured data, set top box data (media/behavioral/attitudinal)…
",3.7
1042,"Hyderabad, Telangana","Applied Scientist II, Amazon Business",Amazon Dev Center India - Hyd,,"
Proven track in leading, mentoring, and growing teams of scientists.
A successful Applied Scientist at Amazon has extreme bias for action and operates in a…
",3.5
1043,"Bengaluru, Karnataka+1 location",newData Scientist,Entropik Tech,,"
Ability to pull data from SQL/NoSQL sources and do basic data manipulation.
Experience with practical data science: source control workflows, deploying machine.
",
1044,"Hyderabad, Telangana",Data Scientist (Chat BOT specialist),Spotflock,,"
Ensure that necessary data is captured; analytic needs are well-defined up front and coordinate the analytic needs.
Provide an accurate plan to deliver tasks.
",
1045,"Thiruvananthapuram, Kerala",Data Scientist,Techvantage Systems,,"
We are looking for a very curious Lead data scientist who enjoys a deep dive into the raw data to help figure out the right set of questions and find the…
",
1046,"Bengaluru, Karnataka","Data Scientist II, Core Analytics and Science",Uber,,"
4+ years of industry experience working as a data scientist or similar.
Drive clarity and solve ambiguous, challenging business problems using data-driven…
",3.7
1047,"Bengaluru, Karnataka",Analyst-Data Science,Accenture,,"
In the Data Science team, you will manage and analyze data in order to build data driven business insights and high impact data models to generate significant…
",4.0
1048,"Hyderabad, Telangana",Data Scientist,Veniso Solutions,,"
Present information using data visualization tools.
Identify valuable data sources and automate collection processes.
",
1049,"Vadodara, Gujarat",Senior Data Scientist,NielsenIQ,,Additional Information About NielsenIQ NielsenIQ is a global measurement and data analytics company that provides the most complete and trusted view…,3.4
1050,"Calicut, Kerala",DATA SCIENTIST,Tech27 Systems Ltd.,,"
Post graduate degree in Statistics, Math or any other with strong analytical background .
Must have exposure to Big Data analytics..
",
1051,"Gurgaon, Haryana",Data Scientist,EVC Ventures,,"
Must have solid hands-on experience with data, need to understand data and showcase the same.
Extensive experience with data manipulation and analysis using SQL…
",1.9
1052,"Bengaluru, Karnataka",Director - Data Science,Myntra.com,,"
Strong expertise in Data Science, Machine Learning and Analytics, backed by demonstrable experience of building data-driven solutions for solving complex…
",4.2
1053,"Bengaluru, Karnataka",Data Scientist -Manager,Deloitte,,"
Train other data scientists in area of expertise.
Develop and implement data harvesting best practices and capabilities for data driven insights.
",4.0
1054,"Delhi, Delhi",newAI Data Scientist,Viral Nation International,,"
Experience with data visualization tools — Tableau etc. preferred.
Knowledge of DevOps/MLOps and creating data pipelines on AWS environments.
",
1055,"Bengaluru, Karnataka",ML Engineer,Drishti,,"
Strong Computer Science and development fundamentals, including object-oriented design, data structures, algorithm design, and complexity analysis.
",3.7
1056,"Pune, Maharashtra",DevOps Engineer – SBS Data Analytics,Siemens,,"
You need to Integrate data analytics services to global offerings, by packaging Python code produced by data scientists to be compatible with our R&D…
",4.0
1057,"Hyderabad, Telangana",newData Scientist,Cyient,,"
Data Ingestion, processing of structured and unstructured data in big data ecosystem – Hadoop, Spark and Spark Streaming.
Data modelling and mining/ETL tasks.
",3.5
1058,"Bengaluru, Karnataka",Machine Learning Engineer,TAC Security,,"
— Ensures software applications are built with quality while conforming to corporate and regulatory processes and practices by.
",
1059,"Pune, Maharashtra",newData Science Expert,Next Logix Consultancy,,"
Overall Experience -5 Years - 7 Years.
2+ years of experience in Machine learning, Data Science.
Proficient in R or Python.
",
1060,"Remote in Bengaluru, Karnataka+1 location",Deep Learning Engineer,Bipolar Factory,"₹50,000 - ₹70,000 a month","
Perform data clean-up and guide the labelling team to create labelled datasets.
Develop Machine Learning (ML) models using various neural network architectures…
",
1061,"Bengaluru, Karnataka",BE1 - Data Scientist � AI / Deep Learning for Automated Driv...,Robert Bosch,,"
3.Most importantly – data aptitude.
1.Looking at the nature of the data.
8.Define the next set of data or experiments forward.
",4.1
1062,"Bengaluru, Karnataka",Data Scientist,BDB,,"
3+ years of experience in using statistical and data mining techniques to solve real business problems.
Analyze data sets to summarize, identify trends, predict…
",
1064,India,R Programmer Analytics,Technovatrix,,"
The focus on advanced data Science capabilities is not mandatory but is a good to have.
",
1066,"Mumbai, Maharashtra",newSenior Specialist Data Science,Samaira HR Solutions,"₹32,00,000 a year","
Candidates must have strong experience in a variety of data mining/analytics methods, using a diverse set of data tools, building and implementing models, using…
",
